[2026-06-30T09:43:34.906Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/index.html → 200 (8ms, 43522B)
[2026-06-30T09:43:34.971Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/fonts/PretendardVariable.woff2 → 200 (1ms, 2057688B)
[2026-06-30T09:43:53.381Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/index.html → 200 (1ms, 43522B)
[2026-06-30T09:43:53.389Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/fonts/PretendardVariable.woff2 → 200 (?ms, 2057688B)
[2026-06-30T09:44:47.640Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/index.html → 200 (?ms, 43470B)
[2026-06-30T09:44:47.647Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/fonts/PretendardVariable.woff2 → 200 (?ms, 2057688B)
[2026-06-30T09:46:50.976Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/index.html → 200 (?ms, 43535B)
[2026-06-30T09:46:50.981Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/fonts/PretendardVariable.woff2 → 200 (1ms, 2057688B)
[2026-06-30T09:47:51.867Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/index.html → 200 (?ms, 43535B)
[2026-06-30T09:47:51.872Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/fonts/PretendardVariable.woff2 → 200 (1ms, 2057688B)
[2026-06-30T09:47:51.926Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/index.html → 200 (?ms, 43535B)
[2026-06-30T09:47:51.930Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/fonts/PretendardVariable.woff2 → 200 (1ms, 2057688B)
[2026-06-30T09:47:52.976Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/index.html → 200 (?ms, 43535B)
[2026-06-30T09:47:52.981Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/fonts/PretendardVariable.woff2 → 200 (1ms, 2057688B)
[2026-06-30T09:48:08.872Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/index.html → 200 (1ms, 43535B)
[2026-06-30T09:48:08.878Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/fonts/PretendardVariable.woff2 → 200 (1ms, 2057688B)
[2026-06-30T09:48:08.962Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/index.html → 200 (?ms, 43535B)
[2026-06-30T09:48:08.967Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/fonts/PretendardVariable.woff2 → 200 (2ms, 2057688B)
[2026-06-30T09:48:36.788Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/index.html → 200 (1ms, 43535B)
[2026-06-30T09:48:36.798Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/fonts/PretendardVariable.woff2 → 200 (1ms, 2057688B)
[2026-06-30T09:48:36.876Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/index.html → 200 (?ms, 43535B)
[2026-06-30T09:48:36.880Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/fonts/PretendardVariable.woff2 → 200 (1ms, 2057688B)
[2026-06-30T09:49:08.794Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/index.html → 200 (1ms, 43535B)
[2026-06-30T09:49:08.799Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/fonts/PretendardVariable.woff2 → 200 (19ms, 2057688B)
[2026-06-30T09:49:08.890Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/index.html → 200 (?ms, 43535B)
[2026-06-30T09:49:08.897Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/fonts/PretendardVariable.woff2 → 200 (1ms, 2057688B)
[2026-06-30T09:49:35.018Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/index.html → 200 (?ms, 43535B)
[2026-06-30T09:49:35.029Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/fonts/PretendardVariable.woff2 → 200 (1ms, 2057688B)
[2026-06-30T09:49:35.122Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/index.html → 200 (?ms, 43535B)
[2026-06-30T09:49:35.126Z] GET file:///Users/jeondonghyeon/Documents/35_%EB%A3%A8%ED%8B%B4%EC%8B%9C%EA%B0%84%ED%91%9C/fonts/PretendardVariable.woff2 → 200 (1ms, ?B)
